time,bid,ask
2023-12-18T10:44:43.354Z,142.715,142.717
2023-12-18T10:44:45.466Z,142.712,142.714
2023-12-18T10:44:49.652Z,142.71,142.712
2023-12-18T10:44:51.781Z,142.711,142.713
2023-12-18T10:44:53.869Z,142.709,142.711
2023-12-18T10:44:58.098Z,142.71,142.712
2023-12-18T10:45:00.356Z,142.712,142.714
2023-12-18T10:45:04.181Z,142.713,142.718
2023-12-18T10:45:08.385Z,142.716,142.715
2023-12-18T10:45:10.473Z,142.713,142.716
2023-12-18T10:45:12.568Z,142.714,142.717
2023-12-18T10:45:14.659Z,142.715,142.718
2023-12-18T10:45:20.947Z,142.714,142.717
2023-12-18T10:45:23.046Z,142.715,142.718
2023-12-18T10:45:25.158Z,142.716,142.717
2023-12-18T10:45:27.257Z,142.715,142.722
2023-12-18T10:45:31.470Z,142.72,142.721
2023-12-18T10:45:33.551Z,142.719,142.722
2023-12-18T10:45:35.634Z,142.72,142.718
2023-12-18T10:45:39.845Z,142.716,142.715
2023-12-18T10:45:41.944Z,142.711,142.714
2023-12-18T10:45:50.744Z,142.719,142.718
2023-12-18T10:45:52.829Z,142.72,142.722
2023-12-18T10:45:57.026Z,142.723,142.725
2023-12-18T10:46:01.211Z,142.72,142.721
2023-12-18T10:46:05.507Z,142.727,142.724
2023-12-18T10:46:07.615Z,142.723,142.728
2023-12-18T10:46:09.698Z,142.722,142.725
2023-12-18T10:46:11.780Z,142.726,142.728
2023-12-18T10:46:13.917Z,142.733,142.735
2023-12-18T10:46:22.318Z,142.735,142.736
2023-12-18T10:46:24.417Z,142.74,142.742
2023-12-18T10:46:28.259Z,142.739,142.741
2023-12-18T10:46:30.692Z,142.737,142.739
2023-12-18T10:46:34.533Z,142.736,142.738
2023-12-18T10:46:36.958Z,142.739,142.741
2023-12-18T10:46:43.279Z,142.736,142.738
2023-12-18T10:46:45.360Z,142.735,142.737
2023-12-18T10:46:51.336Z,142.734,142.733
2023-12-18T10:46:55.561Z,142.731,142.734
2023-12-18T10:46:57.683Z,142.732,142.736
2023-12-18T10:46:59.782Z,142.734,142.735
2023-12-18T10:47:01.891Z,142.733,142.728
2023-12-18T10:47:06.075Z,142.726,142.729
2023-12-18T10:47:12.402Z,142.727,142.738
2023-12-18T10:47:16.586Z,142.737,142.739
2023-12-18T10:47:18.867Z,142.722,142.724
2023-12-18T10:47:23.037Z,142.718,142.71
2023-12-18T10:47:25.126Z,142.713,142.717
2023-12-18T10:47:27.231Z,142.708,142.712
2023-12-18T10:47:29.306Z,142.703,142.705
2023-12-18T10:47:31.387Z,142.702,142.704
2023-12-18T10:47:33.484Z,142.696,142.698
2023-12-18T10:47:35.563Z,142.703,142.705
2023-12-18T10:47:37.647Z,142.695,142.698
2023-12-18T10:47:39.750Z,142.69,142.692
2023-12-18T10:47:41.829Z,142.691,142.693
2023-12-18T10:47:43.923Z,142.693,142.695
2023-12-18T10:47:46.016Z,142.696,142.698
2023-12-18T10:47:48.098Z,142.694,142.696
2023-12-18T10:47:50.212Z,142.695,142.697
2023-12-18T10:47:52.289Z,142.691,142.693
2023-12-18T10:47:56.466Z,142.692,142.694
2023-12-18T10:48:02.740Z,142.694,142.696
2023-12-18T10:48:04.847Z,142.7,142.702
2023-12-18T10:48:06.978Z,142.695,142.697
2023-12-18T10:48:11.217Z,142.694,142.696
2023-12-18T10:48:13.333Z,142.691,142.693
2023-12-18T10:48:32.126Z,142.685,142.684
2023-12-18T10:48:34.210Z,142.677,142.687
2023-12-18T10:48:36.316Z,142.675,142.679
2023-12-18T10:48:44.662Z,142.676,142.677
2023-12-18T10:48:46.777Z,142.681,142.678
2023-12-18T10:48:50.993Z,142.686,142.683
2023-12-18T10:48:57.287Z,142.691,142.688
2023-12-18T10:49:01.459Z,142.687,142.691
2023-12-18T10:49:03.538Z,142.691,142.694
